 178: ((1-2)*7+17)*21-32
 179: 1-2-7-17*(21-32)
 180: (1-2)*(7+17*(21-32))
 181: (1+2+7)*17-21+32
 182: 1*2-7-17*(21-32)
 183: 1+2-7-17*(21-32)
 184: 1*(2*7+32)*(21-17)
 185: (1+2)/7*17*21+32
 186: 1+2*7*17-21-32
 187: 1+(2+17)*7+21+32
 188: (1-2+7)*32+17-21
 189: (1+2)*(7+17+32)+21
 190: 1-2*7*(17-32)-21
 191: 1/2*(17*21-7+32)
 192: (1+2+7+17-21)*32
 193: 1+2*(7+17-21)*32
 194: 1/2*(7*(21+32)+17)
 195: 1-2+7*(17-21+32)
 196: (1-2+7)*(17+21)-32
 197: 1+2+7-17*(21-32)
 198: (1+2)*(7*17-21-32)
 199: 1+2+7*(17-21+32)
 200: 1*2*(7-32)*(17-21)
 201: 1-(2+7-17)*21+32
 202: 1+2*7-17*(21-32)
 203: (1+2)*(17+21+32)-7
 204: 1*(2+7)*21-17+32
 205: 1+(2+7)*21-17+32
 206: 1*(2+7)*17+21+32
 207: 1+(2+7)*17+21+32
 208: (1+2)*7-17*(21-32)
 209: (1+2*(7-17))*(21-32)
 210: (1/2+7)*(17-21+32)
 211: 1+(2-7-17+32)*21
 212: ((1+2)*7-17)*(21+32)
 213: 1+2+(7-21)*(17-32)
 214: 1/2*(7+17*21)+32
 215: (1/2*21-32)*(7-17)
 216: 1*2*(7*17+21-32)
 217: 1+2*(7*17+21-32)
 218: ((1-2-17)/21+32)*7
 219: 1-2+7*32+17-21
 220: 1*(2-7+17)*21-32
 221: 1+(2-7+17)*21-32
 222: 1/2*((7+21)*17-32)
 223: (1+2+7)*17+21+32
 224: (1+2*(7+17-21))*32
 225: 1-(2-7)*(17+32)-21
 226: 1*2*(17+21/7*32)
 227: 1*2*7*17+21-32
 228: 1+2*7*17+21-32
 229: 1+2*(7*17-21)+32
 230: (1-2+7)*32+17+21
 231: (1+2-7-17)*(21-32)
 232: 1-2*7*(17-32)+21
 233: 1-2+7*(17+21)-32
 234: (1/2-7)*(17-21-32)
 235: 1-(2+17)*(7-21)-32
 236: 1*2+7*(17+21)-32
 237: 1+2+7*(17+21)-32
 238: 1*(2+7)*21+17+32
 239: 1+(2+7)*21+17+32
 240: (1/2*7-17+21)*32
 241: (1+2-7+17)*21-32
 242: ((1-2)*7+17)*21+32
 243: 1+(2-7-17)*(21-32)
 244: (1+2*7)*17+21-32
 245: 1+2-(7-17)*21+32
 246: 1+2*7*21-17-32
 247: 1*2*(7*21-32)+17
 248: 1*2*(7*17+21)-32
 249: 1+2*(7*17+21)-32
 250: 1+2*7*17-21+32
 251: 1-2-7*(17-21-32)
 252: (1-2)*7*(17-21-32)
 253: 1+(2+7)*(17-21+32)
 254: 1*2-7*(17-21-32)
 255: 1+2-7*(17-21-32)
 256: (1+2*17)*7-21+32
 257: (1+2-7+21)*17-32
 258: 1/2*17*32+7-21
 259: (1+2+7)*21+17+32
 260: (1-2+7)*(17+21)+32
 261: 1+2*(7*17-21+32)
 262: (1+2)*(7*17-21)-32
 263: 1-2-(7+17)*(21-32)
 264: (1-2)*(7+17)*(21-32)
 265: 1/2*(7+17*32-21)
 266: (1+2*7)*17-21+32
 267: 1+2-(7+17)*(21-32)
 268: 1/2*((7+17)*21+32)
 269: 1-2-(7-21)*17+32
 270: 1*2*(7-(17-21)*32)
 271: 1+2*(7-(17-21)*32)
 272: 1*2-(7-21)*17+32
 273: (1+2*(7-17)+32)*21
 274: 1-(2*(21-32)-17)*7
 275: (1-2-7-17)*(21-32)
 276: (1/2-21+32)*(7+17)
 277: 1-(2-17)*21-7-32
 278: 1-(2+7-17)*32+21
 279: 1*2*7*21+17-32
 280: (1+2+7)*(17-21+32)
 281: 1*2*(7*17+32)-21
 282: 1+2*(7*17+32)-21
 283: 1-(2-7)*(21+32)+17
 284: 1*(2-7+17)*21+32
 285: 1+(2-7+17)*21+32
 286: 1*(2+7+17)*(32-21)
 287: 1-(2+7+17)*(21-32)
 288: (1+2)*(7+17-21)*32
 289: 1-(2-7+17-21)*32
 290: 1+(2*21+7-32)*17
 291: 1*2*7*17+21+32
 292: 1+2*7*17+21+32
 293: 1+2*(7*21-17)+32
 294: 1*2/7*(17+32)*21
 295: 1+2/7*(17+32)*21
 296: 1*2*(7*21+17)-32
 297: 1-2+7*(17+21)+32
 298: 1-2-(7-17)*32-21
 299: ((1-2)*7+17)*32-21
 300: 1*2+7*(17+21)+32
 301: 1+2+7*(17+21)+32
 302: 1+2-(7-17)*32-21
 303: 1*(2+17-32/7)*21
 304: (1+2)*7*17-21-32
 305: (1+2-7+17)*21+32
 306: (1-2)*17*(21-7-32)
 307: 1-2-7-(17-32)*21
 308: (1+2*7)*17+21+32
 309: (1-2-7+17)*32+21
 310: 1*(2+7)*(17+21)-32
 311: 1+(2+7)*(17+21)-32
 312: 1-2*7+17*21-32
 313: 1+2*(7*17+21)+32
 314: (1+7*17+21)*2+32
 315: (1+2/7*(17+32))*21
 316: (1+2+7)*32+17-21
 317: 1-2-7+17*21-32
 318: (1-2)*7+17*21-32
 319: (1+2+17+21)*7+32
 320: (1-2+7-17+21)*32
 321: 1+2-7+17*21-32
 322: ((1-2)/7+17)*21-32
 323: 1*2*(7*17+32)+21
 324: (1+2)*(7*17+21-32)
 325: 1-(2+7)*(17-21-32)
 326: (1+2)*(7*17-21)+32
 327: 1+(2+7)*32+17+21
 328: (1+2)*(7*21-32)-17
 329: 1*2*7-(17-32)*21
 330: (1+2)*(7-17)*(21-32)
 331: 1-2+7+17*21-32
 332: 1+(2/7+17)*21-32
 333: (1-7+17)*32+2-21
 334: ((1+2)/7+17)*21-32
 335: 1+2+7+17*21-32
 336: (1+2)*7-(17-32)*21
 337: 1+(2*(7+17)-32)*21
 338: 1-2*17+7*(21+32)
 339: 1*2*7+17*21-32
 340: 1+2*7+17*21-32
 341: ((1-2)*7+17)*32+21
 342: 1-(2*7+17)*(21-32)
 343: 1*2-(7-17)*32+21
 344: 1*2*(7*17+21+32)
 345: 1+2*(7*17+21+32)
 346: (1+2)*7+17*21-32
 347: (1-2+21+32)*7-17
 348: (1+2+7)*(17+21)-32
 349: 1-(2-21)*17-7+32
 350: (1+2*17-21)*(32-7)
 351: 1-2+(7-17+21)*32
 352: (1+2*7+17-21)*32
 353: 1-(2*(7-21)+17)*32
 354: 1*2+(7-17+21)*32
 355: 1+2+(7-17+21)*32
